description,cause_of_incident,from_road,to_road,affected_roads,incident_category_desc,magnitude_of_delay_desc,length_in_meters,delay_in_seconds,incident_date,incident_time
stationary traffic,,Rua Dona Teresa,Rua Dona Teresa,N207-4,Jam,Major,381,167,2018-10-28,19:45:01
stationary traffic,,Rua de São Torcato,Rua Padre António Caldas (N101),,Jam,Major,241,147,2018-10-28,19:45:01
stationary traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Major,527,115,2018-10-28,19:45:01
slow traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Minor,527,44,2018-10-28,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,791,128,2018-10-27,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,706,131,2018-10-27,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,1084,188,2018-10-27,19:45:01
stationary traffic,,Rua Eduardo Manuel de Almeida / Avenida Dom Afonso Henriques,Rua Eduardo Manuel de Almeida / Avenida Dom Afonso Henriques,,Jam,Major,198,147,2018-10-27,19:45:01
stationary traffic,,Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá,Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,384,252,2018-10-27,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,235,157,2018-10-27,19:45:01
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,432,319,2018-10-27,19:45:01
stationary traffic,,Rua da Dourada,Rua Dona Teresa,N207-4,Jam,Major,264,163,2018-10-27,19:45:01
stationary traffic,,Oliveira Do Castelo (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,942,411,2018-10-27,19:45:01
queuing traffic,,Rua De Cam?es (N101),Largo Da República Do Brasil (N101),N101,Jam,Moderate,322,158,2018-10-27,19:45:01
stationary traffic,,Largo de Navarros de Andrade / Avenida General Humberto Delgado,Largo Condessa Mumadona (N101),,Jam,Major,264,130,2018-10-27,19:45:01
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,228,122,2018-10-27,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,552,140,2018-10-27,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,967,229,2018-10-27,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,557,182,2018-10-27,19:45:01
queuing traffic,,Rua De Teixeira De Pascoais (N101),Largo Da República Do Brasil (N101),N101,Jam,Moderate,362,140,2018-10-27,19:45:01
queuing traffic,,Oliveira Do Castelo (N101),Largo Da República Do Brasil (N101),N101,Jam,Moderate,674,254,2018-10-27,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,264,193,2018-10-27,19:45:01
stationary traffic,,Oliveira Do Castelo (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,381,228,2018-10-27,19:45:01
stationary traffic,,Avenida Conde de Margaride / Travessa dos Gaiteiros,Largo Comandante José de Pina (N101),,Jam,Major,264,281,2018-10-27,19:45:01
stationary traffic,,Alameda Doutor Alfredo Pimenta (N101),Praceta Rotary Club de Guimarães,,Jam,Major,469,154,2018-10-26,19:45:01
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Rua De Teixeira De Pascoais (N101),N101,Jam,Major,381,576,2018-10-26,19:45:01
stationary traffic,,Largo Bernardo Valentim Moreira de Sá / Avenida Dom Afonso Henriques,Largo 25 de Abril (N101) / Rua de Camões,,Jam,Major,498,464,2018-10-26,19:45:01
stationary traffic,,Rua de São Tomé e Príncipe,N105,,Jam,Major,189,171,2018-10-26,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,871,161,2018-10-26,19:45:01
stationary traffic,,Rua da Saudade,Alameda Doutor Mariano Felgueiras / Rua dos Cuteleiros (N206),,Jam,Major,381,219,2018-10-26,19:45:01
stationary traffic,,Avenida de Londres,Largo Comandante José de Pina (N101),,Jam,Major,264,348,2018-10-26,19:45:01
stationary traffic,,Avenida Conde de Margaride / Travessa dos Gaiteiros,Largo Comandante José de Pina (N101),,Jam,Major,264,155,2018-10-26,19:45:01
stationary traffic,,Largo Comandante José de Pina (N101),Rua da Saudade,,Jam,Major,225,283,2018-10-26,19:45:01
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Rua De Teixeira De Pascoais (N101),N101,Jam,Major,381,350,2018-10-26,19:45:01
stationary traffic,,Rua De Teixeira De Pascoais (N101),Rua De Cam?es (N101),N101,Jam,Major,322,138,2018-10-26,19:45:01
queuing traffic,,Rua de Alexandre Herculano / Rua Doutor Mário Dias,Rua Doutor Agostinho Barbosa,,Jam,Moderate,415,123,2018-10-26,19:45:01
stationary traffic,,Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá,Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,384,249,2018-10-26,19:45:01
stationary traffic,,Rua do Picoto / Avenida General Humberto Delgado,Alameda da Universidade (N309),,Jam,Major,440,250,2018-10-26,19:45:01
stationary traffic,,Rua Capitão Alfredo Guimarães,Rua de São Torcato,N207-4,Jam,Major,559,153,2018-10-26,19:45:01
stationary traffic,,Avenida São Gonçalo,Avenida Conde de Margaride,,Jam,Major,205,198,2018-10-26,19:45:01
stationary traffic,,Rua dos Cuteleiros (N206),Avenida Conde Margaride / Largo Comandante José de Pina (N101),,Jam,Major,340,121,2018-10-26,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,850,437,2018-10-26,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,615,186,2018-10-26,19:45:01
stationary traffic,,N105,Avenida Conde Margaride / Largo Comandante José de Pina (N101),,Jam,Major,498,205,2018-10-26,19:45:01
stationary traffic,,Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá,Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,384,519,2018-10-26,19:45:01
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,381,192,2018-10-26,19:45:01
stationary traffic,,Largo da República do Brasil (N101),Urgezes,,Jam,Major,712,376,2018-10-26,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,706,105,2018-10-26,19:45:01
stationary traffic,,Rua da Saudade,Avenida de Londres,,Jam,Major,381,196,2018-10-26,19:45:01
stationary traffic,,Rua de Santa Eulália (N101) / Rua Doutor José Pinto Rodrigues,Alameda Doutor Mariano Felgueiras / Rua dos Cuteleiros (N206),,Jam,Major,615,283,2018-10-26,19:45:01
stationary traffic,,Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá,Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,384,695,2018-10-26,19:45:01
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,381,193,2018-10-26,19:45:01
stationary traffic,,Largo da República do Brasil (N101),Urgezes,,Jam,Major,557,423,2018-10-26,19:45:01
stationary traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Major,1084,267,2018-10-26,19:45:01
stationary traffic,,N105,Avenida Conde Margaride / Largo Comandante José de Pina (N101),,Jam,Major,381,134,2018-10-26,19:45:01
stationary traffic,,Rua de Santa Eulália (N101) / Rua Doutor José Pinto Rodrigues,Avenida de Londres,,Jam,Major,264,145,2018-10-26,19:45:01
stationary traffic,,Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá,Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,384,512,2018-10-26,19:45:01
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,440,168,2018-10-26,19:45:01
stationary traffic,,Largo da República do Brasil (N101),Urgezes,,Jam,Major,557,284,2018-10-26,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,967,204,2018-10-26,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,733,141,2018-10-26,19:45:01
stationary traffic,,Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá,Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,384,443,2018-10-26,19:45:01
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,440,226,2018-10-26,19:45:01
stationary traffic,,N101,Urgezes,,Jam,Major,850,481,2018-10-26,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,303,192,2018-10-26,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,840,118,2018-10-26,19:45:01
stationary traffic,,Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá,Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,384,367,2018-10-26,19:45:01
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,371,214,2018-10-26,19:45:01
stationary traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Major,1143,282,2018-10-26,19:45:01
stationary traffic,,Rua Francisco dos Santos Guimarães,Rua Eduardo Manuel de Almeida,,Jam,Major,785,253,2018-10-26,19:45:01
stationary traffic,,Largo da República do Brasil (N101),Urgezes,,Jam,Major,557,293,2018-10-26,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua Reitor Francisco José Ribeiro (N101),N101,Jam,Major,791,278,2018-10-26,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1497,229,2018-10-26,19:45:01
stationary traffic,,"A11, Guimarães Oeste (Acesso A11, Guimarães Oeste)","N206 (Acesso A11, Guimarães Oeste)",,Jam,Major,597,294,2018-10-26,19:45:01
stationary traffic,,Silvares (N206),"Acesso A11, Guimarães Oeste (N206)",N206,Jam,Major,357,160,2018-10-26,19:45:01
queuing traffic,,"Acesso A11, Guimarães Oeste (N206)",N105 (N206),N206,Jam,Moderate,1585,140,2018-10-26,19:45:01
stationary traffic,,N105 (N206),"Acesso A11, Guimarães Oeste (N206)",N206,Jam,Major,477,130,2018-10-26,19:45:01
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,557,179,2018-10-26,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,304,243,2018-10-26,19:45:01
stationary traffic,,N206 (N105),Rua Eduardo Manuel De Almeida (N105),N105,Jam,Major,532,99,2018-10-26,19:45:01
queuing traffic,,Quinta de Vilaverde,Urgezes,,Jam,Moderate,468,139,2018-10-26,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1143,194,2018-10-26,19:45:01
stationary traffic,,N105,Avenida Conde Margaride / Largo Comandante José de Pina (N101),,Jam,Major,440,127,2018-10-26,19:45:01
stationary traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Major,434,100,2018-10-26,19:45:01
stationary traffic,,Rua Doutor Bento Cardoso / Rua da Liberdade,Largo 25 de Abril (N101),,Jam,Major,205,185,2018-10-26,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,236,233,2018-10-26,19:45:01
queuing traffic,,Largo da República do Brasil (N101),Urgezes,,Jam,Moderate,479,123,2018-10-26,19:45:01
stationary traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Major,1134,410,2018-10-26,19:45:01
stationary traffic,,Rua do Mercado Municipal / Rua Padre Augusto Borges de Sá,Largo 25 de Abril (N101),,Jam,Major,248,194,2018-10-26,19:45:01
queuing traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Moderate,615,161,2018-10-26,19:45:01
queuing traffic,,Alameda São Dâmaso,Avenida Alberto Sampaio,N101,Jam,Moderate,352,133,2018-10-26,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,733,114,2018-10-26,19:45:01
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,434,68,2018-10-26,19:45:01
stationary traffic,,Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá,Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,384,230,2018-10-26,19:45:01
stationary traffic,,Rua De Teixeira De Pascoais (N101),Rua João Paulo II (N101),N101,Jam,Major,1004,329,2018-10-26,19:45:01
stationary traffic,,Rua Cónogo Doutor Manuel Faria (N309),Rua 24 de Junho (N309),N309,Jam,Major,440,128,2018-10-26,19:45:01
stationary traffic,,Rua De Teixeira De Pascoais (N101),Rua João Paulo II (N101),N101,Jam,Major,1004,320,2018-10-26,19:45:01
stationary traffic,,Alameda Doutor Alfredo Pimenta (N101),Rua Cónego Manuel Faria / Rua de Alexandre Herculano,,Jam,Major,322,176,2018-10-26,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,264,184,2018-10-26,19:45:01
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,244,130,2018-10-26,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,304,168,2018-10-26,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,615,143,2018-10-26,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,615,117,2018-10-26,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,295,241,2018-10-26,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,295,259,2018-10-26,19:45:01
queuing traffic,,N101,Urgezes,,Jam,Moderate,789,214,2018-10-26,19:45:01
queuing traffic,,N105,Largo Comandante José de Pina (N101),,Jam,Moderate,615,135,2018-10-26,19:45:01
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,551,85,2018-10-26,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,1084,190,2018-10-26,19:45:01
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,315,257,2018-10-26,19:45:01
queuing traffic,,Rua dos Cuteleiros (N206),Largo Comandante José de Pina (N101),,Jam,Moderate,674,187,2018-10-26,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua Eduardo Manuel De Almeida (N105),N105,Jam,Moderate,371,67,2018-10-26,19:45:01
stationary traffic,,Rua Padre Augusto Borges de Sá / Rua da Liberdade,Largo 25 de Abril (N101) / Rua de Camões,,Jam,Major,175,180,2018-10-26,19:45:01
stationary traffic,,Rua De Teixeira De Pascoais (N101),Rua De Cam?es (N101),N101,Jam,Major,315,184,2018-10-26,19:45:01
stationary traffic,,Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá,Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,384,262,2018-10-26,19:45:01
stationary traffic,,Quinta de Vilaverde,Rua do Colégio Militar,,Jam,Major,557,213,2018-10-26,19:45:01
stationary traffic,,Largo da República do Brasil (N101),Urgezes,,Jam,Major,712,270,2018-10-26,19:45:01
stationary traffic,,Rua Palácio da Justiça / Avenida da Grande Guerra,Rua Calouste Gulbenkian,,Jam,Major,440,542,2018-10-26,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1436,312,2018-10-26,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,967,171,2018-10-26,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1016,208,2018-10-26,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,733,135,2018-10-26,19:45:01
queuing traffic,,Quinta de Vilaverde,Urgezes,,Jam,Moderate,557,137,2018-10-26,19:45:01
stationary traffic,,Rua Palácio da Justiça / Avenida da Grande Guerra,Rua Calouste Gulbenkian,,Jam,Major,440,517,2018-10-26,19:45:01
stationary traffic,,Praça Cidade Igualada / Rua Carlos Malheiro Dias,Rua Doutor José Sampaio,,Jam,Major,205,177,2018-10-26,19:45:01
stationary traffic,,Creixomil,Rua dos Cuteleiros (N206),,Jam,Major,381,170,2018-10-26,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,908,232,2018-10-26,19:45:01
stationary traffic,,Alameda Doutor Mariano Felgueiras,Rua de São Miguel,N206,Jam,Major,322,171,2018-10-26,19:45:01
stationary traffic,,Rua Dom Cristovão de São Boaventura,Rua Doutor José Sampaio,,Jam,Major,322,231,2018-10-26,19:45:01
stationary traffic,,Praceta Cidade de Kaiserslautern,Praça Cidade Igualada / Rua Carlos Malheiro Dias,,Jam,Major,298,252,2018-10-26,19:45:01
stationary traffic,,Urgezes,Largo da República do Brasil (N101),,Jam,Major,322,199,2018-10-26,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,733,178,2018-10-26,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,674,337,2018-10-25,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1143,193,2018-10-25,19:45:01
stationary traffic,,Rua De São Gonçalo/Rua De Gil Vicente (N101),IC5/N105 (N101),N101,Jam,Major,327,129,2018-10-25,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,903,174,2018-10-25,19:45:01
stationary traffic,,IC5/N105 (N101),Rua De Teixeira De Pascoais (N101),N101,Jam,Major,264,238,2018-10-25,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,791,111,2018-10-25,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,850,198,2018-10-25,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,908,170,2018-10-25,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua De Santo António (N101),N101,Jam,Major,1377,603,2018-10-25,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1436,401,2018-10-25,19:45:01
slow traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Minor,497,36,2018-10-25,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1143,227,2018-10-25,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,1084,186,2018-10-25,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1016,144,2018-10-25,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,615,129,2018-10-25,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,147,126,2018-10-25,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,615,196,2018-10-25,19:45:01
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,498,178,2018-10-25,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,552,199,2018-10-25,19:45:01
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,498,232,2018-10-25,19:45:01
slow traffic,,IC5/N101 (N105),N206 (N105),N105,Jam,Minor,313,26,2018-10-25,19:45:01
queuing traffic,,Largo da República do Brasil (N101),Urgezes,,Jam,Moderate,521,133,2018-10-25,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,963,197,2018-10-25,19:45:01
slow traffic,,Estrada Nacional 105,IC5,,Jam,Minor,1025,47,2018-10-25,19:45:01
slow traffic,,N105,Avenida Dom Afonso Henriques,,Jam,Minor,791,131,2018-10-25,19:45:01
stationary traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Major,474,138,2018-10-25,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,674,166,2018-10-24,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,1143,291,2018-10-24,19:45:01
stationary traffic,,Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá,Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,384,367,2018-10-24,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,1143,295,2018-10-24,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,791,120,2018-10-24,19:45:01
stationary traffic,,Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá,Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,384,373,2018-10-24,19:45:01
stationary traffic,,Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá,Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,384,323,2018-10-24,19:45:01
stationary traffic,,Largo da República do Brasil (N101),Urgezes,,Jam,Major,557,169,2018-10-24,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,1084,265,2018-10-24,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,1084,153,2018-10-24,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,967,237,2018-10-24,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1143,189,2018-10-24,19:45:01
stationary traffic,,Largo da República do Brasil (N101),Urgezes,,Jam,Major,534,158,2018-10-24,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1169,260,2018-10-24,19:45:01
stationary traffic,,Rua da Liberdade,Rua de Santa Eulália (N101),,Jam,Major,375,162,2018-10-24,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,615,148,2018-10-24,19:45:01
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,551,81,2018-10-24,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1084,214,2018-10-24,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,264,197,2018-10-24,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,791,185,2018-10-24,19:45:01
stationary traffic,,Alameda São Dâmaso (N101) / Largo Bernardo Valentim Moreira de Sá,Rua Eduardo Manuel de Almeida / Avenida Dom João IV,,Jam,Major,384,228,2018-10-24,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,498,148,2018-10-24,19:45:01
queuing traffic,,Rua Eduardo Manuel De Almeida (N105),Rua De Angola (N105),N105,Jam,Moderate,245,38,2018-10-24,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,733,145,2018-10-23,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1143,200,2018-10-23,19:45:01
stationary traffic,,Quinta de Vilaverde,Urgezes,,Jam,Major,371,134,2018-10-23,19:45:01
queuing traffic,,Rua De Angola (N105),Vista Alegre (N105),N105,Jam,Moderate,615,110,2018-10-23,19:45:01
queuing traffic,,Vista Alegre (N105),Rua De Angola (N105),N105,Jam,Moderate,1084,176,2018-10-23,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,967,223,2018-10-23,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua Reitor Francisco José Ribeiro (N101),N101,Jam,Major,903,356,2018-10-23,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Major,1237,327,2018-10-23,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,615,180,2018-10-23,19:45:01
stationary traffic,,Rua Do Parque Industrial Da Ponte (N101),Rua Reitor Francisco José Ribeiro (N101),N101,Jam,Major,493,202,2018-10-23,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1503,322,2018-10-23,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,850,206,2018-10-23,19:45:01
stationary traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Major,791,210,2018-10-23,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,276,153,2018-10-23,19:45:01
stationary traffic,,Praceta Rotary Club de Guimarães,Alameda Doutor Alfredo Pimenta (N101),,Jam,Major,592,244,2018-10-23,19:45:01
stationary traffic,,Rua Serpa Pinto (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,264,185,2018-10-23,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,615,129,2018-10-23,19:45:01
stationary traffic,,Oliveira Do Castelo (N101),Largo Da República Do Brasil (N101),N101,Jam,Major,381,166,2018-10-23,19:45:01
queuing traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Moderate,615,120,2018-10-23,19:45:01
slow traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Minor,963,106,2018-10-23,19:45:01
queuing traffic,,"Acesso A11, Guimarães Sul (N105)",Rua De Angola (N105),N105,Jam,Moderate,1084,170,2018-10-23,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,791,180,2018-10-23,19:45:01
queuing traffic,,Rua Eduardo Manuel De Almeida (N105),Rua De Angola (N105),N105,Jam,Moderate,245,38,2018-10-23,19:45:01
queuing traffic,,N101,Rua do Centro / Rua Comandante José Luís de Pina,,Jam,Moderate,440,130,2018-10-23,19:45:01
queuing traffic,,Rua Do Parque Industrial Da Ponte (N101),IC5/N105 (N101),N101,Jam,Moderate,1638,291,2018-10-23,19:45:01
stationary traffic,,IC5/N105 (N101),Rua João Paulo II (N101),N101,Jam,Major,908,237,2018-10-23,19:45:01
stationary traffic,,N105 (N206),"Acesso A11, Guimarães Oeste (N206)",N206,Jam,Major,1764,248,2018-10-23,19:45:01
queuing traffic,,N206 (N105),Rua De Angola (N105),N105,Jam,Moderate,461,65,2018-10-23,19:45:01
