Cohen's kappa,#False,#Correct,Error,Accuracy,currentIteration,maxIterations,qualityMeasure,prunning method,enabReduced,minNum,splitAver,Column Header,binNomSplit,useFirstSplit,RowID,knime.workspace
0.7410071942446044,30,120,0.2,0.8,48,12800,Gain ratio,No pruning,True,2,true,AVERAGE_TEMPERATURE,true,true,Row48,/home/z/knime-workspace
0.7232950942526084,32,118,0.21333333333333335,0.7866666666666666,49,12800,Gain ratio,No pruning,True,2,true,AVERAGE_TEMPERATURE,true,false,Row49,/home/z/knime-workspace
0.7901081368551676,24,124,0.16216216216216217,0.8378378378378378,50,12800,Gain ratio,No pruning,True,2,true,AVERAGE_TEMPERATURE,false,true,Row50,/home/z/knime-workspace
0.8163663220088626,21,127,0.14189189189189189,0.8581081081081081,51,12800,Gain ratio,No pruning,True,2,true,AVERAGE_TEMPERATURE,false,false,Row51,/home/z/knime-workspace
0.7583290177800794,28,122,0.18666666666666668,0.8133333333333334,52,12800,Gain ratio,No pruning,True,2,true,AVERAGE_HUMIDITY,true,true,Row52,/home/z/knime-workspace
0.7232950942526084,32,118,0.21333333333333335,0.7866666666666666,53,12800,Gain ratio,No pruning,True,2,true,AVERAGE_HUMIDITY,true,false,Row53,/home/z/knime-workspace
0.774202949233549,26,123,0.174496644295302,0.825503355704698,54,12800,Gain ratio,No pruning,True,2,true,AVERAGE_HUMIDITY,false,true,Row54,/home/z/knime-workspace
0.8163663220088626,21,127,0.14189189189189189,0.8581081081081081,55,12800,Gain ratio,No pruning,True,2,true,AVERAGE_HUMIDITY,false,false,Row55,/home/z/knime-workspace
0.7232950942526084,32,118,0.21333333333333335,0.7866666666666666,56,12800,Gain ratio,No pruning,True,2,true,AVERAGE_WIND_SPEED,true,true,Row56,/home/z/knime-workspace
0.7232950942526084,32,118,0.21333333333333335,0.7866666666666666,57,12800,Gain ratio,No pruning,True,2,true,AVERAGE_WIND_SPEED,true,false,Row57,/home/z/knime-workspace
0.8163663220088626,21,127,0.14189189189189189,0.8581081081081081,58,12800,Gain ratio,No pruning,True,2,true,AVERAGE_WIND_SPEED,false,true,Row58,/home/z/knime-workspace
0.8163663220088626,21,127,0.14189189189189189,0.8581081081081081,59,12800,Gain ratio,No pruning,True,2,true,AVERAGE_WIND_SPEED,false,false,Row59,/home/z/knime-workspace
0.7407087294727744,30,120,0.2,0.8,60,12800,Gain ratio,No pruning,True,2,false,AVERAGE_FREE_FLOW_SPEED,true,true,Row60,/home/z/knime-workspace
0.7408431237042157,30,120,0.2,0.8,61,12800,Gain ratio,No pruning,True,2,false,AVERAGE_FREE_FLOW_SPEED,true,false,Row61,/home/z/knime-workspace
0.7817109144542771,25,123,0.16891891891891891,0.831081081081081,62,12800,Gain ratio,No pruning,True,2,false,AVERAGE_FREE_FLOW_SPEED,false,true,Row62,/home/z/knime-workspace
0.8165397556224544,21,127,0.14189189189189189,0.8581081081081081,63,12800,Gain ratio,No pruning,True,2,false,AVERAGE_FREE_FLOW_SPEED,false,false,Row63,/home/z/knime-workspace
0.7408431237042157,30,120,0.2,0.8,64,12800,Gain ratio,No pruning,True,2,false,AVERAGE_TIME_DIFF,true,true,Row64,/home/z/knime-workspace
0.7408431237042157,30,120,0.2,0.8,65,12800,Gain ratio,No pruning,True,2,false,AVERAGE_TIME_DIFF,true,false,Row65,/home/z/knime-workspace
0.8165397556224544,21,127,0.14189189189189189,0.8581081081081081,66,12800,Gain ratio,No pruning,True,2,false,AVERAGE_TIME_DIFF,false,true,Row66,/home/z/knime-workspace
0.8165397556224544,21,127,0.14189189189189189,0.8581081081081081,67,12800,Gain ratio,No pruning,True,2,false,AVERAGE_TIME_DIFF,false,false,Row67,/home/z/knime-workspace
0.7585096596136155,28,122,0.18666666666666668,0.8133333333333334,68,12800,Gain ratio,No pruning,True,2,false,AVERAGE_TEMPERATURE,true,true,Row68,/home/z/knime-workspace
0.7408431237042157,30,120,0.2,0.8,69,12800,Gain ratio,No pruning,True,2,false,AVERAGE_TEMPERATURE,true,false,Row69,/home/z/knime-workspace
0.7990198972663399,23,125,0.1554054054054054,0.8445945945945946,70,12800,Gain ratio,No pruning,True,2,false,AVERAGE_TEMPERATURE,false,true,Row70,/home/z/knime-workspace
0.8165397556224544,21,127,0.14189189189189189,0.8581081081081081,71,12800,Gain ratio,No pruning,True,2,false,AVERAGE_TEMPERATURE,false,false,Row71,/home/z/knime-workspace
0.7758105311565877,26,124,0.17333333333333334,0.8266666666666667,72,12800,Gain ratio,No pruning,True,2,false,AVERAGE_HUMIDITY,true,true,Row72,/home/z/knime-workspace
0.7408431237042157,30,120,0.2,0.8,73,12800,Gain ratio,No pruning,True,2,false,AVERAGE_HUMIDITY,true,false,Row73,/home/z/knime-workspace
0.7830771022594922,25,124,0.16778523489932887,0.8322147651006712,74,12800,Gain ratio,No pruning,True,2,false,AVERAGE_HUMIDITY,false,true,Row74,/home/z/knime-workspace
0.8165397556224544,21,127,0.14189189189189189,0.8581081081081081,75,12800,Gain ratio,No pruning,True,2,false,AVERAGE_HUMIDITY,false,false,Row75,/home/z/knime-workspace
0.7408431237042157,30,120,0.2,0.8,76,12800,Gain ratio,No pruning,True,2,false,AVERAGE_WIND_SPEED,true,true,Row76,/home/z/knime-workspace
